date, pm25
2016/7/13, 41
2016/7/14, 32
2016/7/15, 29
2016/7/16, 28
2016/7/17, 33
2016/7/18, 27
2016/7/19, 31
2016/7/20, 21
2016/7/21, 34
2016/7/22, 40
2016/7/23, 54
2016/7/24, 46
2016/7/25, 64
2016/7/26, 70
2016/7/27, 52
2016/7/28, 70
2016/7/29, 29
2016/7/30, 44
2016/7/31, 52
2016/8/1, 44
2016/8/2, 33
2016/8/3, 26
2016/8/4, 48
2016/8/5, 52
2016/8/6, 54
2016/8/7, 19
2016/8/8, 36
2016/8/9, 41
2016/8/10, 27
2016/8/11, 28
2016/8/12, 32
2016/8/13, 49
2016/8/14, 35
2016/8/15, 27
2016/8/16, 24
2016/8/17, 22
2016/8/18, 34
2016/8/19, 49
2016/8/20, 56
2016/8/21, 58
2016/8/22, 36
2016/8/23, 32
2016/8/24, 21
2016/8/25, 46
2016/8/26, 38
2016/8/27, 56
2016/8/28, 58
2016/8/29, 58
2016/8/30, 16
2016/8/31, 40
2016/9/1, 40
2016/9/2, 40
2016/9/3, 43
2016/9/4, 38
2016/9/7, 34
2016/9/8, 43
2016/9/9, 77
2016/9/10, 74
2016/9/11, 59
2016/9/12, 58
2016/9/13, 27
2016/9/14, 28
2016/9/15, 33
2016/9/16, 37
2016/9/17, 13
2016/9/21, 23
2016/9/22, 31
2016/9/23, 34
2016/9/24, 39
2016/9/25, 26
2016/9/26, 39
2016/9/27, 52
2016/9/28, 53
2016/9/29, 31
2016/9/30, 40
2016/4/1, 30
2016/4/2, 33
2016/4/3, 65
2016/4/4, 59
2016/4/5, 59
2016/4/6, 72
2016/4/7, 60
2016/4/8, 47
2016/4/9, 40
2016/4/10, 32
2016/4/11, 35
2016/4/12, 48
2016/4/13, 54
2016/4/14, 41
2016/4/15, 31
2016/4/16, 52
2016/4/17, 35
2016/4/18, 28
2016/4/19, 37
2016/4/20, 21
2016/4/21, 24
2016/4/22, 25
2016/4/23, 31
2016/4/24, 32
2016/4/25, 27
2016/4/26, 24
2016/4/27, 52
2016/4/28, 47
2016/4/29, 50
2016/4/30, 39
2016/5/1, 37
2016/5/2, 33
2016/5/3, 39
2016/5/4, 37
2016/5/5, 27
2016/5/6, 34
2016/5/7, 41
2016/5/8, 48
2016/5/9, 54
