year,month,city,station_name,station_lat,station_lon,pm25,pm10,o3,no2,so2,co
2023,8,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,40.61290322580645,13.03225806451613,33.32258064516129,7.935483870967742,1.0344827586206897,
2023,7,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,38.38709677419355,11.612903225806452,34.45161290322581,6.032258064516129,1.032258064516129,
2023,6,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,44.8,15.966666666666667,38.5,8.1,1.04,
2023,5,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,45.45161290322581,18.35483870967742,38.96774193548387,8.96774193548387,1.2083333333333333,
2023,4,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,51.03333333333333,16.633333333333333,37.36666666666667,7.166666666666667,1.1,
2023,3,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,45.03225806451613,13.32258064516129,31.35483870967742,6.193548387096774,1.4642857142857142,
2023,2,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,45.82142857142857,13.107142857142858,26.571428571428573,5.5,2.142857142857143,
2023,1,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,44.793103448275865,12.03448275862069,21.06896551724138,5.517241379310345,1.8846153846153846,
2022,12,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,62.45161290322581,18.225806451612904,16.548387096774192,6.612903225806452,1.0526315789473684,
2022,11,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,61.6,18.733333333333334,14.133333333333333,6.0,1.0,
2022,10,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,55.32258064516129,17.806451612903224,20.419354838709676,5.32258064516129,1.0833333333333333,
2022,9,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,39.93333333333333,15.0,23.733333333333334,6.066666666666666,1.0,
2022,8,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,47.61290322580645,20.387096774193548,33.29032258064516,6.233333333333333,1.0,
2022,7,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,34.225806451612904,12.67741935483871,32.29032258064516,3.6538461538461537,1.0,
2022,6,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,46.666666666666664,18.333333333333332,34.9,5.379310344827586,1.0,
2022,5,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,42.0,17.741935483870968,34.61290322580645,5.733333333333333,1.0,
2022,4,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,43.8,17.6,35.13333333333333,5.666666666666667,1.0909090909090908,
2022,3,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,66.0,27.677419354838708,31.838709677419356,8.225806451612904,1.25,
2022,2,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,37.464285714285715,12.142857142857142,27.428571428571427,5.535714285714286,1.0769230769230769,
2022,1,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,42.32258064516129,11.774193548387096,25.451612903225808,4.645161290322581,1.1111111111111112,
2021,12,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,56.45161290322581,16.096774193548388,19.258064516129032,6.096774193548387,1.2352941176470589,
2021,11,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,52.142857142857146,15.25,18.678571428571427,6.178571428571429,1.0,
2021,10,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,55.903225806451616,20.903225806451612,23.36,7.096774193548387,1.25,
2021,9,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,47.3,18.466666666666665,28.366666666666667,7.0344827586206895,1.0,
2021,8,Gdynia,"Gdynia Dabrowa, Gdansk, Poland",54.465555555556,18.464722222222,36.935483870967744,12.774193548387096,29.0,4.774193548387097,1.0,
